query_id	query_text	class_label
oos_val-0	set a warning for when my bank account starts running low	oos
oos_val-1	a show on broadway	oos
oos_val-2	who has the best record in the nfl	oos
oos_val-3	how do i find the area of a circle	oos
oos_val-4	how many onions do i have on hand	oos
oos_val-5	what is the name of the 13th president	oos
oos_val-6	show me recent activity in my backyard	oos
oos_val-7	how long will it take me to pay off my card if i pay an extra $50 a month over the minimum	oos
oos_val-8	does our bank have free notary	oos
oos_val-9	what were the top stories this week	oos
oos_val-10	can i mix antifreeze with water	oos
oos_val-11	are any earning reports due	oos
oos_val-12	show me the channel guide	oos
oos_val-13	is the pnc bank open	oos
oos_val-14	where does the power steering fluid go	oos
oos_val-15	when was the last time the president visited floridau	oos
oos_val-16	how can i keep my windshield from fogging up in winter	oos
oos_val-17	how do i compute the median of a set of numbers	oos
oos_val-18	what is happening with brexit right nowu	oos
oos_val-19	are there any new companies to look out for	oos
oos_val-20	can you tell me how to compute price per ounce	oos
oos_val-21	how to unclog a drain	oos
oos_val-22	am kind of busy now	oos
oos_val-23	what new reality shows are there for 2019	oos
oos_val-24	what is the purpose or benefit of a cash advance	oos
oos_val-25	how can i root an android phone	oos
oos_val-26	is android better than iphone	oos
oos_val-27	are androids expensive	oos
oos_val-28	how long does it take to become an architect	oos
oos_val-29	who are some famous living architects	oos
oos_val-30	find out for me as to why people get autism	oos
oos_val-31	is autism a genetic disease	oos
oos_val-32	is flu contagious	oos
oos_val-33	is it true that nicotine is harder to kick than heroin	oos
oos_val-34	please inform me on bad habits and overcoming them	oos
oos_val-35	are bad habits closely related with addictions	oos
oos_val-36	does hypnosis work to break bad habits	oos
oos_val-37	king of acid	oos
oos_val-38	suo2	oos
oos_val-39	what university in the united states offers the best biomedical engineering program	oos
oos_val-40	what's the definition of nuclear engineering	oos
oos_val-41	when was electrical engineering created	oos
oos_val-42	what is naval engineering	oos
oos_val-43	is it possible to survive in a black hole	oos
oos_val-44	where do black holes come from	oos
oos_val-45	what are black holes	oos
oos_val-46	what was the final vote count in the brexit referendum	oos
oos_val-47	can you tell me the latest georgia news	oos
oos_val-48	is the brexit finalized yet	oos
oos_val-49	the birds fly with there wings	oos
oos_val-50	how the birds fly	oos
oos_val-51	where does cannabis originate from	oos
oos_val-52	how are my cannabis stocks doing	oos
oos_val-53	is marijuana addictive	oos
oos_val-54	should i hit or stay at 17 in blackjack	oos
oos_val-55	what game has the best odds at a casino	oos
oos_val-56	what's the best opening gambit for a game of chess	oos
oos_val-57	what side in chess has the general advantage	oos
oos_val-58	how do i get better at go	oos
oos_val-59	how high does my sat score need to be to get into harvard	oos
oos_val-60	what'll an education at boulder state college run	oos
oos_val-61	what's the average gpa to get into yale	oos
oos_val-62	what act score is considered good	oos
oos_val-63	what cryptocurrency gained the most in 2018	oos
oos_val-64	what's the best crypto to buy in 2019	oos
oos_val-65	how is crypto legal	oos
oos_val-66	are there any cybersecurity jobs available in pittsburgh	oos
oos_val-67	how many firewalls should i have and what type	oos
oos_val-68	how can i breach a network	oos
oos_val-69	how does cybersecurity work	oos
oos_val-70	how many countries in the world are democracies	oos
oos_val-71	is the united states a democracy	oos
oos_val-72	which nations are not democratic	oos
oos_val-73	how does a democracy work	oos
oos_val-74	please get me my wheelchair	oos
oos_val-75	what's the best dog food to feed my puppy	oos
oos_val-76	how do you know when your dog is ill	oos
oos_val-77	what dog breed sold the most in 2018	oos
oos_val-78	how much food should i feed my cat	oos
oos_val-79	what does it mean if i dream of falling off a building	oos
oos_val-80	is it bad to not remember your dreams	oos
oos_val-81	why do we dream	oos
oos_val-82	do ducks eat meat, vegetables, or both	oos
oos_val-83	what is the friendliest breed	oos
oos_val-84	what do geese eat	oos
oos_val-85	do ducks sleep	oos
oos_val-86	are over the ear headphones better than in ear headphones	oos
oos_val-87	what brand of earphones is the best reviewed of 2019	oos
